compound_id,bertz_complexity,compound_name
C00175,0,Cobalt ion; Cobalt(2+); Co2+; Co(II)
C00027,0,Hydrogen peroxide
C00070,0,Copper
C00014,0,Ammonia
C00150,0,Molybdenum
C01528,0,Hydrogen selenide; Selenide
C14819,0,Fe3+; Fe(III); Ferric ion; Iron(3+)
C06547,0,Ethylene
C00001,0,H2O
C00282,0,Hydrogen; H2
C00080,0,H+
C05361,0,Hydrazine
C14818,0,Fe2+; Fe(II); Ferrous ion; Iron(2+)
C00305,0,Magnesium cation; Mg2+; Magnesium(2+); Magnesium ion
C00238,0,Potassium cation; K+; Potassium(1+); Potassium ion
C00283,0,Hydrogen sulfide
C01438,0,Methane
C00038,0,Zinc cation; Zn2+; Zn(II); Zinc ion
C19609,0,Nickel(2+); Ni2+; Ni(II)
C00007,0,Oxygen
C00132,2,Methanol
C00067,2,Formaldehyde
C00069,2,Alcohol
C00218,2,Methylamine
C00192,2,Hydroxylamine
C00533,2,Nitric oxide
C00543,2.754887502,Dimethylamine
C00697,4.754887502,Nitrogen
C00189,8,Ethanolamine
C00565,8,Trimethylamine
C00084,10.26466251,Acetaldehyde
C00058,10.26466251,Formate
C00088,10.26466251,Nitrite
C00071,12.26466251,Aldehyde; RCHO
C00479,17.2451125,Propanal
C00134,17.509775,Putrescine
C00011,23.77443751,CO2
C00116,25.21928095,Glycerol
C01672,25.26112493,Cadaverine
C00288,26.26466251,HCO3-; Hydrogencarbonate; Bicarbonate; Hydrogen carbonate; Acid carbonate
C00207,26.26466251,Acetone
C00244,26.26466251,Nitrate
C00094,26.26466251,Sulfite
C00033,27.01955001,Acetate
C05665,28.07403392,3-Aminopropanal
C00086,29.01955001,Urea
C00160,40.15772188,Glycolate
C07044,42.91260938,Hydroxyurea
C00037,42.91260938,Glycine
C00577,43.30296891,D-Glyceraldehyde
C02426,43.30296891,L-Glyceraldehyde
C00184,44,Glycerone
C03939,44.91260938,Acetyl-[acyl-carrier protein]
C12455,45.34481289,5-Aminopentanal
C00114,46.53206898,Choline
C00315,48.81290899,Spermidine
C00009,49.78353987,Orthophosphate
C01013,50,3-Hydroxypropanoate
C00213,52.7548875,Sarcosine
C00099,52.7548875,beta-Alanine
C00048,55.913403,Glyoxylate
C15809,58.6682905,Iminoglycine
C00041,59.81353753,L-Alanine
C00989,59.95524698,4-Hydroxybutanoic acid
C00334,62.71013448,4-Aminobutanoate
C00576,62.97063087,Betaine aldehyde
C05745,64.71013448,Butyryl-[acp]
C00222,66.4385619,3-Oxopropanoate
C01089,67.33515885,(R)-3-Hydroxybutanoate
C00258,69.33515885,D-Glycerate
C01026,70.09004635,"N,N-Dimethylglycine"
C00209,71.54887502,Oxalate; Oxalic acid; Ethanedioic acid
C00022,72.03910002,Pyruvate
C01205,72.09004635,(R)-3-Amino-2-methylpropanoate
C00065,72.58027135,L-Serine
C00431,72.82892142,5-Aminopentanoate
C00990,72.82892142,5-Aminopentanamide
C03401,73.33515885,"L-2,3-Diaminopropanoate"
C00161,74.79398752,2-Oxo acid; 2-Oxocarboxylate; 2-Oxocarboxylic acid; 2-Oxo carboxylate
C00097,75.33515885,L-Cysteine
C00379,76.10749561,Xylitol
C20253,76.86238311,Aminoacrylate
C00232,77.00409256,Succinate semialdehyde
C00179,81.02718015,Agmatine
C00383,83.10802962,Malonate; Malonic acid; Propanedioic acid
C00164,83.10802962,Acetoacetate
C02714,83.12704562,N-Acetylputrescine
C00263,83.35260811,L-Homoserine
C06451,83.69058447,2-Hydroxyethylphosphonate
C04618,84.10749561,(3R)-3-Hydroxybutanoyl-[acyl-carrier protein]
C03283,84.10749561,"L-2,4-Diaminobutanoate"
C05749,85.12704562,Hexanoyl-[acp]
C00155,86.10749561,L-Homocysteine
C00750,86.12278798,Spermine
C00059,86.81635834,Sulfate
C06232,86.81635834,Molybdate
C20679,86.81635834,Tungstate; Tungstic acid
C03273,87.67457204,5-Oxopentanoate
C00320,88.06147084,Thiosulfate
C20249,88.18080947,(Z)-3-Peroxyaminoacrylate
C04246,89.69058447,But-2-enoyl-[acyl-carrier protein]
C00183,90.42945954,L-Valine
C00188,91.28421252,L-Threonine
C00042,92.60593782,Succinate
C08057,92.93569697,Cycloserine
C00719,93.09201719,Betaine
C01885,94.56842503,1-Acylglycerol
C00515,94.95878456,D-Ornithine
C00077,94.95878456,L-Ornithine
C00109,95.10802962,2-Oxobutanoate
C00168,95.10802962,Hydroxypyruvate
C00148,96.6017922,L-Proline
C00073,96.95878456,L-Methionine
C00581,97.09616281,Guanidinoacetate
C00346,98.21143267,Ethanolamine phosphate
C05936,101.2309827,N4-Acetylaminobutanal
C00123,101.2309827,L-Leucine
C00441,101.4565452,L-Aspartate 4-semialdehyde
C03167,102.2574223,Phosphonoacetaldehyde
C00407,103.2309827,L-Isoleucine
C09822,103.4837784,Cyclohexane-1-carboxylate
C00137,103.587975,myo-Inositol
C06452,103.8510503,(S)-2-Hydroxypropylphosphonate
C00489,104.1264024,Glutarate
C00047,105.9209386,L-Lysine
C00739,105.9209386,D-Lysine
C01234,106.2574223,1-Aminocyclopropane-1-carboxylate
C05752,106.2651805,Octanoyl-[acp]
C00408,107.6254878,L-Pipecolate
C05747,107.9209386,(R)-3-Hydroxyhexanoyl-[acp]
C02642,108.9811554,3-Ureidopropionate
C19673,110.9811554,Malonyl-[acp] methyl ester
C05748,111.6254878,trans-Hex-2-enoyl-[acp]
C05744,112.6059378,Acetoacetyl-[acp]
C04272,112.6166274,"(R)-2,3-Dihydroxy-3-methylbutanoate"
C01165,112.7707349,L-Glutamate 5-semialdehyde
C03741,112.7707349,(S)-4-Amino-5-oxopentanoate
C01209,113.0961628,Malonyl-[acp]
C00141,114.8421899,3-Methyl-2-oxobutanoic acid
C02946,116.9546184,4-Acetamidobutanoate
C00429,118,"5,6-Dihydrouracil"
C01028,118.3950231,N6-Hydroxy-L-lysine
C00418,118.9162238,(R)-Mevalonate
C01384,118.9737366,Maleic acid
C00122,118.9737366,Fumarate
C00430,121.3715149,5-Aminolevulinate
C01180,121.3715149,4-Methylthio-2-oxobutanoic acid
C01596,122.2188491,Maleamate
C03576,123.8703336,Coenzyme M
C04076,124.1613363,L-2-Aminoadipate 6-semialdehyde
C01157,125.3715149,Hydroxyproline
C03440,125.3715149,cis-4-Hydroxy-D-proline
C02656,125.376,Pimelate
C00233,126.2646625,4-Methyl-2-oxopentanoate
C03589,126.9196845,4-Hydroxy-2-oxopentanoate
C00312,127.2067179,L-Xylulose
C00310,127.2067179,D-Xylulose
C05755,128.0931533,Decanoyl-[acp]
C00671,128.2646625,(S)-3-Methyl-2-oxopentanoic acid
C00149,128.9196845,(S)-Malate
C00093,128.9546184,sn-Glycerol 3-phosphate
C06007,129.7095059,"(R)-2,3-Dihydroxy-3-methylpentanoate"
C00522,129.7095059,(R)-Pantoate
C01455,129.9656602,Toluene
C04620,130.2262679,(3R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
C03912,130.3903595,(S)-1-Pyrroline-5-carboxylate
C06010,131.0369846,(S)-2-Acetolactate
C03089,131.7506907,5-Methylthio-D-ribose
C00049,132.529325,L-Aspartate
C20375,132.7628219,Glutaryl-[acp] methyl ester
C03239,132.9546184,6-Amino-2-oxohexanoate
C00227,133.3640961,Acetyl phosphate
C00300,133.7744375,Creatine
C05751,134.0537478,trans-Oct-2-enoyl-[acp]
C00146,134.1073697,Phenol
C06032,134.1173001,D-erythro-3-Methylmalate
